id,name,country_id,country_code,country_name,state_code,type,latitude,longitude
4023,Andaman and Nicobar Islands,101,IN,India,AN,union territory,11.7400867,92.6586401
4017,Andhra Pradesh,101,IN,India,AP,state,15.9128998,79.7399875
4024,Arunachal Pradesh,101,IN,India,AR,state,28.2179994,94.7277528
4027,Assam,101,IN,India,AS,state,26.2006043,92.9375739
4037,Bihar,101,IN,India,BR,state,25.0960742,85.3131194
4031,Chandigarh,101,IN,India,CH,union territory,30.7333148,76.7794179
4040,Chhattisgarh,101,IN,India,CT,state,21.2786567,81.8661442
4033,Dadra and Nagar Haveli and Daman and Diu,101,IN,India,DH,union territory,20.3973736,72.8327991
4021,Delhi,101,IN,India,DL,union territory,28.7040592,77.1024902
4009,Goa,101,IN,India,GA,state,15.2993265,74.123996
4030,Gujarat,101,IN,India,GJ,state,22.258652,71.1923805
4007,Haryana,101,IN,India,HR,state,29.0587757,76.085601
4020,Himachal Pradesh,101,IN,India,HP,state,31.1048294,77.1733901
4029,Jammu and Kashmir,101,IN,India,JK,union territory,33.277839,75.3412179
4025,Jharkhand,101,IN,India,JH,state,23.6101808,85.2799354
4026,Karnataka,101,IN,India,KA,state,15.3172775,75.7138884
4028,Kerala,101,IN,India,KL,state,10.8505159,76.2710833
4852,Ladakh,101,IN,India,LA,union territory,34.2268475,77.5619419
4019,Lakshadweep,101,IN,India,LD,union territory,10.3280265,72.7846336
4039,Madhya Pradesh,101,IN,India,MP,state,22.9734229,78.6568942
4008,Maharashtra,101,IN,India,MH,state,19.7514798,75.7138884
4010,Manipur,101,IN,India,MN,state,24.6637173,93.9062688
4006,Meghalaya,101,IN,India,ML,state,25.4670308,91.366216
4036,Mizoram,101,IN,India,MZ,state,23.164543,92.9375739
4018,Nagaland,101,IN,India,NL,state,26.1584354,94.5624426
4013,Odisha,101,IN,India,OR,state,20.9516658,85.0985236
4011,Puducherry,101,IN,India,PY,union territory,11.9415915,79.8083133
4015,Punjab,101,IN,India,PB,state,31.1471305,75.3412179
4014,Rajasthan,101,IN,India,RJ,state,27.0238036,74.2179326
4034,Sikkim,101,IN,India,SK,state,27.5329718,88.5122178
4035,Tamil Nadu,101,IN,India,TN,state,11.1271225,78.6568942
4012,Telangana,101,IN,India,TG,state,18.1124372,79.0192997
4038,Tripura,101,IN,India,TR,state,23.9408482,91.9881527
4022,Uttar Pradesh,101,IN,India,UP,state,26.8467088,80.9461592
4016,Uttarakhand,101,IN,India,UK,state,30.066753,79.0192997
4853,West Bengal,101,IN,India,WB,state,22.9867569,87.8549755
